array_shape,copy_cells,copy_columns,copy_rows,copy_all
0,100,0.0032869000000346205,9.519999980511784e-05,0.00010930000007647322,5.000000101063051e-06
1,200,0.013018600000009428,0.00027220000015404366,0.00020339999991847435,4.800000169780105e-06
2,500,0.08305250000000797,0.0012632000000394328,0.0005175000001145236,2.2700000045006163e-05
3,1000,0.3246578999999201,0.00389509999990878,0.0009729000000788801,7.260000006681366e-05
4,2000,1.2922701999999617,0.06733159999998861,0.003038400000150432,0.000991100000192091
5,5000,8.406007400000021,0.8716660000000047,0.012719999999944775,0.007087999999839667
6,10000,33.56867979999993,3.8718324999999822,0.04230299999994713,0.02859630000011748
